formulation,experiment,n,runs,collapses,collapse_rate,E_rel_mean,E_rel_std,L2_mean,L2_std,integral_mean,integral_std
sin_rayleigh,A1_s0p05,20,30,25,0.8333333333333334,6.029344279693068e-05,8.822129297664661e-05,0.8348949154094221,0.37417173708911505,0.16260873383051141,0.37037107050866985
sin_rayleigh,A1_s0p05,21,30,24,0.8,1.015158203560336e-06,1.537484266417014e-06,0.801613188065176,0.4000193748148275,0.19404555147475122,0.3950921280728171
sin_rayleigh,A1_s0p05,22,30,28,0.9333333333333333,5.950580312295287e-07,1.0530602599427513e-06,0.9320197462689223,0.2532682600391154,0.06662880996970542,0.25353544325013333
sin_rayleigh,A1_s0p05,23,30,26,0.8666666666666667,7.229346021560071e-07,1.5918770229147776e-06,0.8597492196120522,0.34471037495114537,0.1345362449786824,0.3452472212915154
sin_rayleigh,A1_s0p05,24,30,27,0.9,3.0581481038007463e-07,3.224643442045995e-07,0.8991416879517529,0.30482695743220967,0.10000763891514244,0.3051435678875316
sin_rayleigh,A1_s0p05,25,30,28,0.9333333333333333,4.515454505386421e-07,8.753342555676943e-07,0.9297703997095407,0.25318986749580596,0.06690192577527367,0.25357046230450725
sin_rayleigh,A1_s0p05,26,30,29,0.9666666666666667,3.059362476208267e-07,2.935808578089943e-07,0.9653842301560085,0.1823444357380657,0.03334420896428089,0.18257995044394323
sin_rayleigh,A1_s0p05,27,30,29,0.9666666666666667,4.961892466196334e-07,8.671677576922189e-07,0.9660434870202852,0.18244872591726732,0.033333380007526565,0.18257176791499355
sin_rayleigh,A1_s0p05,28,30,30,1.0,7.478626527092853e-07,2.6680400890825567e-06,0.9993609949760986,0.0006090526428524384,5.109396948458726e-07,1.8640614431866457e-06
sin_rayleigh,A1_s0p05,29,30,30,1.0,5.4498727110451925e-08,4.296092963023917e-08,0.9994281250762145,0.0003195533268732648,2.0322603929932385e-07,3.0685789465803323e-07
sin_rayleigh,A1_s0p05,30,30,30,1.0,7.87222445515807e-08,1.3277887151630082e-07,0.9995182528332806,0.00020076609314327416,9.334183597488795e-08,1.4177344840952772e-07
sin_rayleigh,A1_s0p1,1,30,0,0.0,9.378598791816506e-06,8.488528861977546e-06,4.367815044505317e-05,4.165299507832544e-06,0.9999974032243093,1.2491682307298781e-06
sin_rayleigh,A1_s0p1,2,30,0,0.0,2.188817588410046e-06,1.5825555084096464e-06,4.7004621546675374e-05,4.527407323383536e-06,0.9999974548816681,3.0728910948805567e-06
sin_rayleigh,A1_s0p1,3,30,0,0.0,1.5433892238333308e-06,1.1538935262473494e-06,5.471071197162766e-05,6.561858955344333e-06,0.9999985277652741,3.2346407905048205e-06
sin_rayleigh,A1_s0p1,4,30,0,0.0,8.625030088908567e-07,5.453096340348693e-07,6.431675379713396e-05,6.921865693859191e-06,0.9999977588653565,2.7349061901663434e-06
sin_rayleigh,A1_s0p1,5,30,0,0.0,5.619273438122723e-07,4.3707800366557144e-07,7.430866979702357e-05,5.0891097279075296e-05,0.9999684949715932,0.00012172299174149291
sin_rayleigh,A1_s0p1,6,30,1,0.03333333333333333,3.513356838533603e-05,0.00018939860879099257,0.03412331946230465,0.18240312902697492,0.9652821522996575,0.18246722469062093
sin_rayleigh,A1_s0p1,7,30,2,0.06666666666666667,6.988450348814901e-05,0.0003528673614512428,0.0667510131386246,0.2536138452568678,0.9333305240588974,0.253707469342047
